@relation aux
@attribute f1 numeric
@attribute a1 numeric
@attribute f2 numeric
@attribute a2 numeric
@attribute f3 numeric
@attribute a3 numeric
@attribute f4 numeric
@attribute a4 numeric
@attribute f5 numeric
@attribute a5 numeric
@attribute class {'1','2','3','4','5','6','7','8'}
@data
2,131.1063309,5,53.89272162,7,50.39467392,10,22.94297156,13,6.316109475,'6'
1,26.82315893,6,3.411980227,9,2.616987107,26,2.26007038,34,3.697720818,'6'
1,27.19827839,5,5.862480239,13,5.397157181,23,8.097770761,30,12.40087695,'6'
1,25.76189595,6,6.28858439,10,4.778851888,24,5.022683777,31,7.981723317,'6'
1,35.04287812,4,8.908409719,12,8.140325254,21,11.73357714,27,14.79340747,'6'
1,22.62332586,10,3.639561643,26,2.985278744,47,4.575464372,59,6.803242636,'6'
1,25.04585319,5,6.073840236,9,4.936802413,24,7.667285207,31,11.09201609,'6'
1,25.41658747,4,6.988033453,13,6.200933754,23,8.941030273,29,11.09618996,'6'
1,27.66337808,7,3.73004054,12,2.781422379,34,3.762930598,43,5.726323146,'6'
1,22.18029185,6,3.661580805,10,2.846077751,34,3.740601081,43,5.3819228,'6'
1,13.72953122,8,2.6731576,24,1.74494372,43,2.895464083,54,4.014914015,'6'
1,18.67045826,6,3.627424491,11,2.809821593,34,4.017677229,42,5.98134638,'6'
1,21.2677857,7,3.706437794,13,2.305511318,36,3.417932637,46,5.171027691,'6'
1,12.9876768,7,2.937581239,18,1.921761105,37,2.959701963,48,4.462126026,'6'
1,28.15034158,4,3.931846135,6,4.008922735,27,3.954103687,35,6.49262777,'6'
1,11.7442737,7,2.277051396,11,2.078992931,49,2.373990299,62,3.77035337,'6'
1,16.05276696,5,3.494524515,19,3.335117144,33,4.854602217,42,5.462396685,'6'
1,21.29441923,4,5.326561299,13,4.931017038,25,7.101522156,32,8.845439076,'6'
1,13.10490597,3,5.492156624,5,2.377331488,51,2.048531589,64,2.82079153,'6'
1,18.35076765,6,2.978717855,8,2.817308871,36,3.689628604,44,4.848901694,'6'
1,12.74853383,4,4.072156084,10,2.198649927,49,2.273949193,61,3.036573575,'6'
1,14.49149144,6,3.75520637,15,2.375600746,31,4.064537815,39,5.434431231,'6'
1,19.90538461,4,5.182136428,6,4.849589427,25,6.06930578,32,8.325416315,'6'
1,19.67419363,4,4.771028562,6,4.537431253,32,5.437844914,39,7.44487101,'6'
1,18.66809341,7,3.547969843,17,3.481058315,29,4.84377166,36,6.252715803,'6'
1,19.11908606,3,7.432292041,7,5.557639003,25,7.308349982,32,10.68612859,'6'
1,34.97183729,5,5.982939311,24,8.402363251,30,10.64740454,75,5.024900572,'6'
1,43.7113293,5,7.770877789,8,6.427202321,20,11.01239643,25,16.87889685,'6'
1,38.76400521,31,5.624724019,42,6.843749323,98,2.828942528,137,1.877407082,'6'
1,58.21321632,9,9.214441745,14,8.855427137,22,12.24751337,28,11.72423692,'6'
1,57.02590068,5,8.369939412,12,6.091978025,22,9.96151082,27,10.60799214,'6'
1,38.75767867,11,5.075890732,14,5.112861644,22,6.219654466,28,7.073083604,'6'
1,30.63385971,13,4.316466944,47,5.03400499,61,4.968597999,64,4.912807019,'6'
1,45.83036492,9,4.473287247,12,4.295050968,50,5.095519322,63,5.095817156,'6'
1,55.33338145,6,7.503589049,16,6.94171533,27,9.883948077,35,9.217291522,'6'
1,38.72696785,6,6.991721953,9,5.786644472,26,5.93389873,35,6.876704368,'6'
1,37.66773088,6,6.077616791,14,5.70825448,29,6.302757012,37,8.7934,'6'
1,29.94915914,8,3.521294251,38,3.585473514,40,3.592553505,50,3.791418588,'6'
1,33.46353021,9,3.750130734,39,3.486933927,48,5.034209571,51,4.842109559,'6'
1,48.37027324,8,13.20830091,22,11.30628914,56,0.379533534,58,0.367487226,'4'
1,22.5706093,5,9.104445516,8,9.193560589,19,6.604660062,27,8.339981352,'4'
1,28.56004322,8,12.37493669,17,8.709343899,22,8.076224361,24,8.847555588,'4'
1,34.80781288,7,10.58761693,9,10.89912355,19,8.10313854,27,9.185814082,'4'
1,32.74009932,23,4.946563498,44,3.210556013,61,4.405590013,89,0.40844903,'4'
1,41.36885765,6,5.505766223,11,6.519561098,13,6.683176063,34,5.462593308,'4'
1,32.25321919,4,5.077604289,15,3.904137989,20,4.077608013,23,4.144043575,'4'
1,42.35952882,9,8.356756872,12,7.915324377,23,6.108346966,61,0.247835933,'4'
1,42.88793638,10,12.27092487,19,8.523852829,26,11.83577288,59,0.577895854,'4'
1,39.5164587,9,8.795943571,24,6.824180574,40,0.307581352,59,0.294849235,'4'
1,37.72244633,12,7.653238768,33,7.021833723,47,0.615849101,50,0.548916759,'4'
1,26.89890881,8,11.25304845,10,11.17982519,20,8.563117843,29,9.148166345,'4'
1,33.89687896,6,11.42003067,8,11.9306497,10,11.37065872,28,10.77318321,'4'
1,30.43497469,4,8.671016066,10,10.5346831,20,8.314171248,27,9.299217291,'4'
1,38.44330351,9,11.40824026,22,9.236571788,47,0.212904557,58,0.384771239,'4'
1,31.67994104,9,11.10725821,24,9.928211419,54,0.397536753,56,0.380856456,'4'
1,38.98099065,12,7.167303366,22,12.60047863,27,10.84708014,68,7.010885444,'5'
1,30.03338734,3,11.61934821,11,13.7579472,15,14.7299584,21,21.95749781,'5'
1,12.8088239,9,9.180802348,20,9.763834846,27,14.78479445,33,7.920033669,'5'
1,13.38318482,10,10.67651974,18,10.39657963,27,13.69861745,69,7.556269382,'5'
1,9.448159122,7,7.13905594,17,7.673239784,23,11.40694359,27,8.339218318,'5'
1,28.25072239,4,8.759953564,31,10.29473484,40,7.882361711,108,5.921683151,'5'
1,17.99966287,19,5.390525455,28,4.147754696,34,6.735361907,77,3.886856332,'5'
1,14.38051891,8,9.682545356,10,9.547938659,16,8.090864735,19,21.58005441,'5'
1,14.69338864,3,7.080387918,9,10.50335808,18,20.83686685,22,7.418319081,'5'
1,12.33896187,9,9.849288505,16,9.556817094,20,9.911642255,23,13.19926799,'5'
1,5.627893567,3,5.235575808,11,5.31981694,26,6.752197376,35,9.921370075,'5'
1,9.43419123,3,4.941705854,11,6.222078338,21,7.144823265,31,12.6554632,'5'
1,10.10147039,6,9.664044727,13,9.397333812,19,13.71245667,25,16.35557146,'5'
1,10.10107985,7,9.238591938,14,11.3350924,21,17.32863884,55,7.707412939,'5'
1,5.17518437,15,2.264627402,39,6.113166593,58,2.315474988,73,3.037624764,'5'
1,8.356221531,15,4.748153534,28,5.644862803,33,5.034169311,43,9.77820924,'5'
1,80.37852218,6,10.08223951,11,11.032176,19,17.98079441,22,18.54817136,'5'
1,58.5637489,3,16.68127589,10,11.72686579,17,17.95773253,21,20.79853044,'5'
1,49.92173241,3,15.65682178,12,11.03974697,21,22.62038455,63,9.193473919,'5'
1,58.56415389,8,11.47261507,10,11.86875671,18,20.31624535,21,16.80428065,'5'
1,52.52284443,5,13.02801244,9,12.26551438,17,19.18361306,21,14.9936403,'5'
1,33.87245642,7,5.670681999,17,5.099745886,36,9.89162657,43,5.642015309,'5'
1,30.70979885,6,6.770417886,34,9.205792854,46,5.83966346,116,5.648188056,'5'
1,39.18979789,6,8.457085383,11,7.008852275,29,12.32409084,34,8.23824115,'5'
1,32.51853271,5,7.12423189,24,10.72711044,34,8.48691076,83,6.860110781,'5'
1,31.635803,6,7.580790759,15,7.819218442,25,10.3849732,34,8.123084982,'5'
1,31.59917429,4,10.00205566,20,12.99106003,28,13.11347356,72,9.003935581,'5'
1,38.80150568,5,9.448953457,9,8.154926573,21,13.32471596,31,11.43742269,'5'
1,44.09314645,4,11.80044831,6,11.49298217,10,11.69366718,35,5.365680093,'7'
1,42.51158434,8,18.17627963,26,7.452632313,60,0.589977051,96,0.663877248,'7'
1,36.27871378,12,12.7959039,32,4.515436645,39,5.003467002,72,0.558107216,'7'
1,35.81511484,8,11.21569442,12,10.64768323,36,3.185094538,43,3.731038856,'7'
1,42.30669398,6,15.62346678,9,15.64876926,26,5.165912986,30,6.016999238,'7'
1,36.30940442,5,10.97690976,7,11.51400665,10,11.48917928,35,3.72157963,'7'
1,35.08205861,10,9.654081483,30,2.036541683,37,1.937931871,56,0.20993265,'7'
1,46.32910936,5,13.79830565,9,15.0813681,30,3.431604972,56,0.409764866,'7'
1,43.7716371,6,12.21980683,24,4.680468708,33,6.300462798,80,0.502060202,'7'
1,38.13026434,7,11.82297172,9,11.67716231,34,4.633789102,61,0.424320594,'7'
1,39.14196658,6,11.53569501,10,10.35948855,36,3.855009833,133,0.367435572,'7'
1,36.14201627,6,14.34358088,31,5.193835576,115,0.467805765,117,0.470139437,'7'
1,34.1607814,7,11.97500824,9,11.85736313,30,3.777067167,35,4.451159681,'7'
1,39.1856956,6,12.52929541,27,3.383312171,31,3.58478442,117,0.385961557,'7'
1,41.37100874,6,14.97100786,30,4.342140894,57,0.445617565,113,0.462758705,'7'
1,43.04436243,6,15.22263359,25,3.970791108,30,4.059299727,58,0.438515682,'7'
1,48.49881499,5,15.16025691,8,13.61973015,23,3.704090222,27,4.065735206,'7'
1,38.17783222,7,11.54867211,11,11.75433,32,3.859418134,36,3.978170661,'7'
1,51.57781532,7,11.45478739,11,14.25399202,29,3.643169103,34,4.239338488,'7'
1,41.99102668,7,16.19562675,16,6.965452862,25,5.87264264,40,0.700317435,'7'
1,41.76188996,7,14.96995668,23,3.837063548,27,3.503819393,105,0.329340541,'7'
1,50.14360211,4,16.79140966,7,19.00940984,24,5.204431727,50,0.572479296,'7'
1,35.77143355,6,11.85911142,11,12.99183298,31,4.016257962,38,4.115723531,'7'
1,45.79092652,8,12.74534716,12,13.37847281,31,3.979896293,38,3.934027265,'7'
1,31.41669664,8,9.949677366,12,9.395061443,36,2.735870142,41,2.515527726,'7'
1,48.41611555,4,19.11549121,7,16.20074755,21,5.14027146,25,4.704551959,'7'
1,52.32085378,5,15.15534793,10,16.59477641,27,4.422828001,33,4.496197911,'7'
1,62.81899702,6,16.85473279,9,18.8465031,28,4.222954892,105,0.44713484,'7'
1,49.97038924,6,13.31580938,9,13.67876863,29,2.423558026,39,0.262176313,'7'
1,52.95522371,8,16.26684565,25,3.748236535,30,3.232994406,113,0.489805763,'7'
1,67.10616153,5,19.75848429,9,19.87736635,27,3.787250686,68,0.565265447,'7'
1,55.96696336,5,19.52799081,9,16.60677345,29,3.644327792,111,0.571390866,'7'
1,20.88710811,4,5.145423998,13,5.077424805,16,4.988845797,28,5.371591857,'8'
1,24.49817046,3,6.561233663,11,6.047536057,25,6.959233234,28,6.423728388,'8'
1,19.48852237,3,7.09641807,9,7.364432894,20,7.11209857,23,7.205062576,'8'
1,20.77308436,4,6.967182501,7,6.527580176,9,7.156720597,22,6.40246304,'8'
1,23.00298257,3,7.816522726,5,6.863980621,9,6.533556078,21,6.524262657,'8'
1,26.9808875,5,6.590261828,9,6.32504405,24,6.081609893,26,6.043336215,'8'
1,28.05934049,6,6.829814937,9,6.802732107,18,6.056801057,23,6.251997627,'8'
1,32.45377378,4,7.263128543,7,5.679873621,21,5.152688455,26,5.280472326,'8'
1,25.79604284,3,8.938376074,5,7.906995565,14,4.779411295,24,5.55682059,'8'
1,22.99067681,3,9.365617832,5,8.552339994,8,7.574890245,21,7.192206085,'8'
1,20.22717219,3,9.391162247,5,9.55147302,12,6.443547825,23,6.526278782,'8'
1,32.18580759,4,7.65114913,16,4.345055344,20,5.47295936,35,0.549326722,'8'
1,29.49981731,9,5.051245561,19,4.10929659,25,4.697593223,62,0.595649225,'8'
1,19.84977517,5,2.840007685,8,2.290868395,25,0.955641478,29,0.871720458,'8'
1,16.13674168,5,3.891459326,9,3.131946659,12,2.688951345,32,1.995326199,'8'
1,11.04683587,9,3.304649343,20,1.465626853,31,1.872026242,44,0.236048944,'8'
1,13.20111444,5,4.159420801,21,1.266056361,25,1.036252629,27,1.057079881,'8'
1,11.74994702,9,3.599808017,30,2.379782721,42,0.267249196,46,0.264194985,'8'
1,12.45933749,3,5.110021733,15,1.641190086,19,1.605066199,21,1.668228328,'8'
1,13.96583717,6,5.822022713,26,2.956854306,39,0.308919009,52,0.224644347,'8'
1,15.65655678,4,5.75986679,11,1.961944582,18,1.385620288,25,1.708567552,'8'
1,17.63213184,4,5.666634363,26,2.702063201,38,0.208966664,53,0.198392832,'8'
1,19.50209833,4,5.226474245,8,4.325262292,17,2.371743293,27,2.969403139,'8'
1,12.38784561,4,3.963006241,8,2.843147001,11,1.545970692,19,1.33378003,'8'
1,14.5380234,18,1.500878947,25,1.571485408,54,0.108151583,58,0.106257262,'8'
1,16.381961,3,7.312660683,9,6.409765275,17,4.188532209,25,5.108858376,'8'
1,16.56608545,9,5.243367232,16,3.387092357,18,3.286514052,26,4.254859409,'8'
1,19.39385263,4,5.894609892,7,4.884537985,9,4.81507233,27,4.55852,'8'
1,17.33086786,5,5.999381478,8,5.554129575,23,3.810781746,25,3.839398218,'8'
1,41.63292828,4,7.148137818,7,3.871756497,10,2.696298231,33,3.212307741,'3'
1,20.45290016,3,5.008155053,6,2.808167453,8,1.921960238,34,3.473724875,'3'
1,14.55408008,3,4.669384577,5,2.570223603,30,2.205520664,112,1.892280749,'3'
1,18.62567211,3,5.659418002,5,3.381457123,7,2.302673362,31,3.12621745,'3'
1,14.82471485,3,4.638589766,5,2.703567869,36,2.23683316,132,1.911791564,'3'
1,24.07619973,3,7.670521678,5,4.177653118,7,2.631749549,31,2.994763763,'3'
1,15.79046818,3,4.058399868,6,2.378770532,8,1.832412416,32,2.274978338,'3'
1,27.91687269,3,6.92587635,5,3.019151023,8,2.386313167,44,1.870010496,'3'
1,12.8163027,3,3.556112975,5,1.71007585,8,1.079184866,41,1.444393604,'3'
1,11.21755185,3,3.115170735,8,1.081863669,41,1.280318116,156,0.917231228,'3'
1,12.99621459,4,2.779829264,6,1.905630325,38,1.526968492,143,1.166600818,'3'
1,18.33294185,3,5.000319292,5,2.483882021,8,1.474771588,40,1.8051379,'3'
1,13.08589494,3,3.965726338,5,2.347693466,7,1.659447878,38,1.683650042,'3'
1,18.32697476,4,3.788302012,6,1.905853095,10,1.289351623,13,1.124980243,'3'
1,20.77728547,6,2.472135752,9,1.503555948,44,1.957133511,163,1.463956902,'3'
1,17.52383951,3,5.408101671,5,2.93151985,7,1.863915577,37,1.902087611,'3'
1,16.86616344,3,4.760064318,5,2.707343797,7,1.758288961,40,1.885078874,'3'
1,15.32402237,3,4.709981578,5,2.61045138,39,1.774182863,147,1.693167323,'3'
1,13.28790243,4,2.106660987,7,0.981052821,9,0.92141421,66,0.856740646,'3'
1,8.943850169,3,2.151919296,6,1.006444411,46,1.093781527,172,0.852989463,'3'
1,8.192914584,3,2.225595046,6,1.223701598,40,1.196533634,150,1.091923435,'3'
1,11.10506292,3,3.326978966,5,2.01312788,7,1.382124028,34,1.437905765,'3'
1,6.487776199,3,2.131129643,5,1.341976865,33,1.444181381,122,1.250401546,'3'
1,22.77985359,4,4.338689607,8,2.209488868,11,1.622221204,32,2.944881136,'3'
1,19.24822476,3,5.334856204,5,2.778746872,8,1.681897223,37,2.03358189,'3'
1,17.12081153,3,4.984725137,5,2.45908637,8,1.498852022,30,2.666835473,'3'
1,15.58193259,3,4.381263395,6,2.744574563,22,2.266489598,29,3.553838272,'3'
1,19.74154492,3,6.217657855,6,3.742753924,17,2.148422088,28,3.294822735,'3'
1,34.85606331,9,3.485704428,14,2.681834656,19,2.90877644,40,3.964350847,'2'
1,42.15346604,5,3.953896984,10,3.027165929,12,2.793533443,32,5.012455958,'2'
1,34.61770185,5,6.082421401,20,2.770179626,22,2.788813324,30,4.961338853,'2'
1,39.38096145,5,6.746161283,18,2.873152612,31,4.777703314,102,3.12029809,'2'
1,40.9066734,5,5.712784045,7,5.473389072,31,4.211303886,97,2.80916193,'2'
1,42.53898884,28,3.576411271,66,2.86983358,94,2.721864367,106,2.848775698,'2'
1,33.53240571,21,3.911211515,28,6.494585757,67,3.164066741,92,3.858917344,'2'
1,31.81918051,10,2.460411106,12,2.600773814,24,2.830837096,32,5.194407232,'2'
1,35.78125835,21,1.939966998,25,1.859104458,34,5.118789179,81,2.777029749,'2'
1,40.99380469,6,4.103333901,37,3.508254219,87,1.626316497,118,1.17714924,'2'
1,41.47829769,11,2.290834499,24,3.238818883,32,4.782413134,105,2.881238265,'2'
1,40.99711423,8,8.408006252,20,3.375950236,33,5.322593376,77,2.958381346,'2'
1,31.29096818,6,8.24921089,16,3.43030064,25,3.515485227,32,6.340451495,'2'
1,40.56439226,8,2.701093321,19,2.49336521,27,4.474947562,66,2.46703947,'2'
1,40.94277957,5,7.847348907,23,2.920459789,31,5.226561724,102,3.302852225,'2'
1,34.36262513,5,7.708480162,23,3.003778764,31,5.714437854,102,3.01933326,'2'
1,37.53212548,8,2.901296851,10,2.554092044,34,1.865343906,45,3.371658729,'2'
1,37.9542062,5,5.304734433,9,3.294002151,31,4.909806125,102,2.940490031,'2'
1,29.53717316,3,7.645681633,7,4.47136985,20,3.774854022,27,6.480871021,'2'
1,32.47579245,5,4.916379039,7,3.396951904,27,7.033304693,65,3.745075464,'2'
1,25.26342134,3,8.190999465,10,3.9517844,19,4.07486691,26,6.656287185,'2'
1,23.41131823,3,6.036561004,6,4.644629618,9,3.576623001,26,6.560265626,'2'
1,29.30591356,4,6.338082798,8,4.754761622,17,4.481433559,23,7.004200846,'2'
1,24.57705003,4,5.35660067,8,3.973641884,18,3.271016941,23,5.301254008,'2'
1,29.18384309,4,5.463103778,7,3.645564381,11,3.23697173,28,5.164743106,'2'
1,30.80725925,4,5.598163696,8,4.340350609,21,3.416762214,28,5.73338595,'2'
1,24.2564979,7,4.030208066,13,3.425351651,26,4.976700764,61,3.238162748,'2'
1,39.44848008,9,32.4658124,15,32.80025977,24,20.96589017,29,10.98357862,'1'
1,42.61856453,11,29.64613651,17,32.24258051,21,21.35596404,28,21.34376255,'1'
1,40.03363213,11,25.37557286,19,27.88996131,29,12.66676728,70,4.914061373,'1'
1,39.42004492,11,26.7754791,19,26.53855743,22,17.02194605,30,15.89746512,'1'
1,33.61553207,3,9.75452021,14,17.33324337,23,19.02885815,36,5.094837365,'1'
1,32.44945613,13,19.70689543,21,19.14724848,34,9.059915473,72,4.132467051,'1'
1,31.56102891,8,30.94570048,13,24.6843303,21,19.31890501,50,6.539543994,'1'
1,40.26200202,7,38.0425346,12,36.45243684,16,26.1531562,20,31.61689761,'1'
1,33.71369304,13,19.61338573,21,19.64558802,26,13.23449544,33,13.73615489,'1'
1,29.51081746,15,11.58359579,25,13.33179611,32,4.865131646,85,2.664020516,'1'
1,28.78798044,13,17.94073053,22,19.42545436,28,10.19551447,34,14.64039495,'1'
1,31.12843922,4,8.306980589,14,16.77161287,23,13.68914647,26,11.33306892,'1'
1,28.91396003,10,20.43898261,19,22.28929129,23,11.54479419,28,13.89701468,'1'
1,27.33189863,9,23.1119462,15,24.7217314,24,18.04534434,30,11.8994995,'1'
1,27.58306663,11,20.47528967,20,22.04880023,24,10.10533922,29,14.29435265,'1'
1,27.89636279,9,23.29019008,16,25.15867421,19,14.36050844,25,21.02367286,'1'
1,27.04095936,8,24.94851369,13,25.40704711,22,23.48497969,29,14.90547019,'1'
1,28.90323453,9,24.12964585,15,26.4781391,24,21.23243876,31,15.26779714,'1'
1,30.0739254,13,16.26187165,25,18.10522137,32,9.530086172,36,11.33654696,'1'
1,23.51684927,8,22.83930441,14,22.26627471,22,20.60775372,27,12.62024032,'1'
1,29.49258757,10,21.93992559,17,23.45740051,21,13.67242354,26,17.64944809,'1'
1,27.41255415,9,22.09537169,16,23.87838396,20,12.15175911,24,18.76579615,'1'
1,31.7950506,8,29.02148528,13,31.1384216,21,26.00596847,27,17.0515699,'1'
1,28.43650406,11,19.57451606,19,20.7734231,23,10.15921849,29,13.01344714,'1'
1,21.57674756,11,15.87048325,21,17.87016192,26,7.712591365,33,10.95696227,'1'
1,26.88177156,9,22.93091442,15,23.86951513,19,12.20062063,24,17.28535796,'1'
1,28.99590694,9,24.40780599,15,25.23689134,19,12.18969611,24,15.96597841,'1'
1,24.25013354,8,17.39384619,17,21.47659914,23,11.90525098,27,9.668351761,'1'
1,23.59766087,10,22.42950293,15,14.99457781,18,15.88358564,25,14.16554279,'1'
1,30.19025157,8,26.1150238,14,26.9448419,23,24.18993758,31,14.22419851,'1'
