@relation aux
@attribute LABEL numeric
@attribute P85 numeric
@attribute P75 numeric
@attribute RMT85 numeric
@attribute CS82 numeric
@attribute SS82 numeric
@attribute S82 numeric
@attribute ME84 numeric
@attribute REV84 numeric
@attribute REG numeric
@attribute class {'1','2'}
@data
201,12,11,87,7,23,45,552,1408,2,'2'
202,35,38,309,10,29,51,2173,3635,2,'2'
203,10,9,75,4,20,35,600,1064,2,'2'
204,25,25,189,7,25,49,1437,2898,2,'2'
205,5,5,36,4,24,39,255,692,2,'2'
206,11,11,82,4,28,39,612,913,2,'2'
207,13,13,84,4,18,41,564,1334,2,'2'
208,8,8,60,6,19,39,390,723,2,'2'
209,17,19,132,7,31,49,989,1197,2,'2'
210,7,7,46,4,22,35,296,605,2,'2'
211,118,118,965,15,35,65,6856,10702,2,'2'
212,21,20,155,8,21,49,1150,1988,2,'2'
213,14,16,132,6,24,41,769,1460,2,'2'
214,27,28,219,6,28,49,1544,2441,2,'2'
215,14,15,112,7,22,41,761,1238,2,'2'
216,8,9,53,6,24,49,311,844,6,'2'
217,12,12,90,6,24,49,543,2098,6,'2'
218,10,9,66,6,19,41,452,1113,6,'2'
219,14,13,100,8,18,49,700,1841,6,'2'
220,11,11,77,9,18,49,461,1416,6,'2'
221,7,7,52,7,15,31,356,826,6,'2'
222,8,9,60,5,23,49,422,2100,6,'2'
233,13,13,100,5,32,49,665,1500,6,'2'
224,20,18,153,4,19,49,1039,2223,6,'2'
225,51,47,418,14,26,61,2771,5137,6,'2'
226,46,46,392,9,36,61,2711,4852,6,'2'
227,11,10,76,7,18,41,503,1220,6,'2'
228,17,17,130,6,20,41,922,1630,6,'2'
229,25,27,197,5,28,49,1239,2461,6,'2'
230,30,33,262,6,32,51,1741,2395,6,'2'
231,7,6,49,3,23,41,321,694,6,'2'
232,12,15,105,4,27,41,672,1008,6,'2'
233,14,13,87,3,17,41,661,1447,6,'2'
234,12,12,70,3,18,41,579,1150,6,'2'
235,21,22,147,5,22,49,1242,2459,6,'2'
236,88,85,720,14,44,75,4758,8760,6,'2'
237,41,43,342,8,32,51,2182,4146,6,'2'
238,31,32,233,5,32,51,1579,3298,6,'2'
239,28,28,203,6,25,49,1524,2903,6,'2'
240,38,37,249,5,24,51,2073,3882,6,'2'
241,13,14,92,3,23,41,659,1989,7,'2'
242,18,18,134,3,29,49,945,2616,7,'2'
243,28,27,231,8,22,49,1560,2414,7,'2'
244,94,93,782,12,46,81,5779,9828,7,'2'
245,26,28,184,5,35,61,1455,2067,7,'2'
246,26,26,182,6,37,61,1494,6928,7,'2'
247,60,60,432,6,33,61,3070,6502,7,'2'
248,7,8,49,3,27,45,427,3832,7,'2'
249,9,10,63,5,30,49,502,970,7,'2'
250,14,13,94,5,23,49,813,2486,7,'2'
251,17,18,124,4,29,49,1061,2881,7,'2'
252,10,9,69,7,23,49,593,2399,7,'2'
253,9,9,53,7,21,45,484,1491,7,'2'
254,13,13,91,5,28,49,736,3647,7,'2'
255,56,53,451,12,38,75,3430,4677,7,'2'
256,8,8,53,3,14,31,428,727,8,'2'
257,3,4,21,5,11,31,173,347,8,'2'
258,7,7,42,5,14,35,323,903,8,'2'
259,8,7,50,3,15,41,408,706,8,'2'
260,5,6,40,3,15,31,287,1063,8,'2'
261,4,4,32,2,19,31,236,704,8,'2'
262,8,8,58,6,20,41,431,2246,8,'2'
263,4,4,26,2,14,31,202,623,8,'2'
264,4,4,28,2,19,31,199,422,8,'2'
265,8,8,61,4,17,35,477,1321,8,'2'
266,9,9,60,2,20,35,518,1313,8,'2'
267,4,5,35,2,19,31,252,687,8,'2'
268,84,74,764,10,30,65,5292,10827,8,'2'
269,14,15,105,4,24,45,942,1911,8,'2'
270,74,72,592,7,36,65,4777,7624,8,'2'
271,8,8,55,3,25,41,462,690,8,'2'
272,4,4,28,1,15,31,214,888,8,'2'
273,7,8,46,4,21,35,414,9052,8,'2'
274,5,6,34,1,20,31,280,359,8,'2'
275,19,18,123,4,27,41,1175,1544,8,'2'
276,6,7,41,3,18,39,302,430,8,'2'
277,9,10,54,4,19,41,528,551,8,'2'
278,24,26,207,5,20,41,1582,3703,8,'2'
279,10,9,64,2,24,39,480,689,8,'2'
280,67,64,562,9,34,61,3948,6583,8,'2'
281,39,35,295,5,32,51,2227,4033,8,'2'
282,29,27,226,7,28,49,1682,2898,8,'2'
283,10,9,63,5,19,41,604,594,8,'2'
284,27,31,233,5,27,45,1788,2366,8,'2'
